title,url,source,time,query,position,moment
"Sen. Klobuchar Considers 2020 Run, Says Dem Nominee Needs to Appeal to 
'Left Behind Voters' in Midwest",https://townhall.com/tipsheet/laurettabrown/2018/12/14/sen-klobuchar-considers-2020-run-says-dem-nominee-needs-to-appeal-to-left-behind-voters-in-midwest-n2537528,Townhall,1 day ago,Amy Klobuchar,4,2018-12-15 18:00:00
Klobuchar: Trump has 'gut-punched' immigration reform efforts,https://www.politico.com/story/2018/11/25/caravan-klobuchar-trump-immigration-reform-1014142,Politico,3 weeks ago,Amy Klobuchar,9,2018-12-15 18:00:00
"Amy Klobuchar is the only one not talking about Amy Klobuchar running for 
president in 2020",https://www.minnpost.com/national/2018/11/amy-klobuchar-is-the-only-one-not-talking-about-amy-klobuchar-running-for-president-in-2020/,MinnPost,1 month ago,Amy Klobuchar,10,2018-12-15 18:00:00
"Fresh from big Minnesota win, Sen. Amy Klobuchar swept up in presidential 
speculation",http://www.startribune.com/fresh-from-big-minnesota-win-amy-klobuchar-swept-up-in-presidential-speculation/501184021/,Star Tribune,3 weeks ago,Amy Klobuchar,7,2018-12-15 18:00:00
Amy Klobuchar Is ‘Minnesota Nice.’ But Is That What Democrats Want for 2020?,https://www.nytimes.com/2018/11/26/us/politics/amy-klobuchar-2020-election.html,The New York Times,3 weeks ago,Amy Klobuchar,6,2018-12-15 18:00:00
"Bill Gates, Rudy Giuliani, Amy Klobuchar: Sunday guests",https://www.orlandosentinel.com/entertainment/tv/tv-guy/os-et-bill-gates-rudy-giuliani-amy-klobuchar-20181215-story.html,Orlando Sentinel,10 hours ago,Amy Klobuchar,3,2018-12-15 18:00:00
Klobuchar: Dem nominee in 2020 needs understanding of 'left behind' voters,https://www.politico.com/story/2018/12/14/klobuchar-dem-nominee-2020-left-behind-voters-1065225,Politico,1 day ago,Amy Klobuchar,2,2018-12-15 18:00:00
Sen. Klobuchar on bipartisan accomplishment combating sexual harassment,https://www.msnbc.com/andrea-mitchell-reports/watch/sen-klobuchar-on-bipartisan-accomplishment-combating-sexual-harassment-1398139459997,MSNBC.com,1 day ago,Amy Klobuchar,1,2018-12-15 18:00:00
Congress passes bill to curb sexual harassment on Capitol Hill,https://www.politico.com/story/2018/12/13/senate-passes-harassment-legislation-1062299,Politico,2 days ago,Amy Klobuchar,5,2018-12-15 18:00:00
Dem senator expresses willingness to negotiate funding for border wall,https://abcnews.go.com/Politics/dem-senator-expresses-willingness-negotiate-funding-border-wall/story?id=59394042,ABC News,3 weeks ago,Amy Klobuchar,8,2018-12-15 18:00:00
