title,url,source,time,query,position,moment
"CNN poll shows Beto O'Rourke is stealing Elizabeth Warren and Kamala 
Harris' thunder",https://www.registercitizen.com/technology/businessinsider/article/CNN-poll-shows-Beto-O-Rourke-is-stealing-13467642.php,The Register Citizen,1 day ago,Elizabeth Warren,8,2018-12-15 18:00:00
"Elizabeth Warren admits she's not 'a person of color' during commencement 
speech",https://www.foxnews.com/politics/elizabeth-warren-admits-shes-not-a-person-of-color-during-commencement-speech-departs-from-native-american-heritage-claim,Fox News,11 hours ago,Elizabeth Warren,1,2018-12-15 18:00:00
Elizabeth Warren: “I am not a person of color”,https://www.bostonherald.com/2018/12/15/elizabeth-warren-i-am-not-a-person-of-color/,Boston Herald,18 hours ago,Elizabeth Warren,4,2018-12-15 18:00:00
Elizabeth Warren takes on race issue in commencement speech,https://www.cnn.com/2018/12/14/politics/elizabeth-warren-speech-person-of-color/index.html,CNN.com,1 day ago,Elizabeth Warren,6,2018-12-15 18:00:00
"After the DNA debacle, Elizabeth Warren’s outreach to minority communities 
makes a pivot",https://www.washingtonpost.com/politics/2018/12/15/after-dna-debacle-elizabeth-warrens-outreach-minority-communities-makes-pivot/,Washington Post,10 hours ago,Elizabeth Warren,3,2018-12-15 18:00:00
"Warren talks identity in address to historically black university: 'I'm not 
a person of color' | TheHill",https://thehill.com/homenews/campaign/421436-warren-talks-identity-in-address-to-historically-black-university-im-not-a,TheHill,1 day ago,Elizabeth Warren,9,2018-12-15 18:00:00
"20 years later, Elizabeth Warren admits she's not 'a person of color'",https://www.washingtonexaminer.com/opinion/20-years-later-elizabeth-warren-admits-shes-not-a-person-of-color,Washington Examiner,1 day ago,Elizabeth Warren,5,2018-12-15 18:00:00
Does the Media Have It Out for Elizabeth Warren?,https://www.rollingstone.com/politics/politics-features/elizabeth-warren-2020-run-769341/,Rolling Stone,1 day ago,Elizabeth Warren,10,2018-12-15 18:00:00
"Critics say Elizabeth Warren is too divisive to run for president. Are they 
right?",https://www.nbcnews.com/politics/politics-news/critics-say-elizabeth-warren-too-divisive-run-president-are-they-n948146,NBC News,10 hours ago,Elizabeth Warren,2,2018-12-15 18:00:00
"CNN poll shows Beto O'Rourke is stealing Elizabeth Warren and Kamala 
Harris' thunder",https://www.businessinsider.com/beto-orourke-polls-ahead-of-elizabeth-warren-kamala-harris-in-cnn-poll-2018-12,Business Insider,1 day ago,Elizabeth Warren,7,2018-12-15 18:00:00
"CNN poll shows Beto O'Rourke is stealing Elizabeth Warren and Kamala 
Harris' thunder",https://www.registercitizen.com/technology/businessinsider/article/CNN-poll-shows-Beto-O-Rourke-is-stealing-13467642.php,The Register Citizen,1 day ago,Elizabeth Warren,6,2018-12-16 00:00:00
"Elizabeth Warren admits she's not 'a person of color' during commencement 
speech",https://www.foxnews.com/politics/elizabeth-warren-admits-shes-not-a-person-of-color-during-commencement-speech-departs-from-native-american-heritage-claim,Fox News,17 hours ago,Elizabeth Warren,1,2018-12-16 00:00:00
Elizabeth Warren: “I am not a person of color”,https://www.bostonherald.com/2018/12/15/elizabeth-warren-i-am-not-a-person-of-color/,Boston Herald,1 day ago,Elizabeth Warren,5,2018-12-16 00:00:00
"After the DNA debacle, Elizabeth Warren’s outreach to minority communities 
makes a pivot",https://www.washingtonpost.com/politics/2018/12/15/after-dna-debacle-elizabeth-warrens-outreach-minority-communities-makes-pivot/,Washington Post,16 hours ago,Elizabeth Warren,4,2018-12-16 00:00:00
"Luntz Analyzes 2020 Democratic Field: Warren, Castro, O'Rourke, Biden, 
Sanders; ""There Is No Frontrunner""",https://www.realclearpolitics.com/video/2018/12/14/luntz_analyzes_2020_democratic_field_warren_castro_orourke_biden_sanders_there_is_no_frontrunner.html,RealClearPolitics,1 day ago,Elizabeth Warren,7,2018-12-16 00:00:00
Elizabeth Warren tackles race issues on road to potential presidential run,https://www.bostonglobe.com/news/nation/2018/12/15/elizabeth-warren-tackling-race-issues-road-potential-presidential-run/Sh2tmam3OmsnUq9dxstJkJ/story.html,The Boston Globe,4 hours ago,Elizabeth Warren,3,2018-12-16 00:00:00
"Elizabeth Warren Says She’s Not a Person of Color, but She Is",https://www.nationalreview.com/corner/elizabeth-warren-says-shes-not-a-person-of-color-but-she-is/,National Review,1 day ago,Elizabeth Warren,8,2018-12-16 00:00:00
Does the Media Have It Out for Elizabeth Warren?,https://www.rollingstone.com/politics/politics-features/elizabeth-warren-2020-run-769341/,Rolling Stone,1 day ago,Elizabeth Warren,10,2018-12-16 00:00:00
