title,url,source,time,query,position,moment
"Sen. Kamala Harris Faces Questions Over Former Aide Accused of Sexual 
Harassment",https://sanfrancisco.cbslocal.com/2018/12/14/kamala-harris-questions-former-aide/,CBS San Francisco,21 hours ago,Kamala Harris,4,2018-12-15 18:00:00
"Kamala Harris’ DOJ received misconduct claim involving aide months before 
she left: report",https://www.foxnews.com/politics/kamala-harris-california-doj-was-notified-of-her-aides-alleged-harassment-three-months-before-leaving-office,Fox News,11 hours ago,Kamala Harris,1,2018-12-15 18:00:00
"McCaskill 'not sure' Sanders, Harris, Warren can win Missouri in 2020 | 
TheHill",https://thehill.com/homenews/senate/421209-mccaskill-not-sure-sanders-harris-warren-can-win-missouri-in-2020,TheHill,2 days ago,Kamala Harris,10,2018-12-15 18:00:00
Taking on Trump: Democrats lining up early for 2020,https://www.sfchronicle.com/politics/article/Taking-on-Trump-Democrats-lining-up-early-for-13463969.php,San Francisco Chronicle,23 hours ago,Kamala Harris,5,2018-12-15 18:00:00
"Report: Democratic Sen. Kamala Harris knew about harassment allegations 
against her top aide",https://www.theblaze.com/news/report-claims-democratic-sen-kamala-harris-knew-about-harassment-allegations-against-her-top-aide,TheBlaze,1 hour ago,Kamala Harris,3,2018-12-15 18:00:00
"Misconduct Claim Against Kamala Harris Aide Brought to Office’s Attention 
Months Before She Left for Washington",https://freebeacon.com/politics/misconduct-claim-against-kamala-harris-aide-brought-to-offices-attention-months-before-she-left-for-washington/,Washington Free Beacon,1 day ago,Kamala Harris,7,2018-12-15 18:00:00
"Harassment Claim Arrived at California DOJ Months Before Sen. Kamala Harris 
Left",https://www.rollcall.com/news/politics/harassment-claim-arrived-california-doj-months-sen-kamala-harris-left,Roll Call,1 day ago,Kamala Harris,2,2018-12-15 18:00:00
"Notice of harassment claim against Kamala Harris’ confidante arrived months 
before she left office",https://hotair.com/archives/2018/12/14/kamala-harriss-office-notified-harassment-lawsuit-months-left-office/,HotAir,1 day ago,Kamala Harris,6,2018-12-15 18:00:00
"CNN poll shows Beto O'Rourke is stealing Elizabeth Warren and Kamala 
Harris' thunder",https://www.businessinsider.com/beto-orourke-polls-ahead-of-elizabeth-warren-kamala-harris-in-cnn-poll-2018-12,Business Insider,1 day ago,Kamala Harris,8,2018-12-15 18:00:00
"CNN poll shows Beto O'Rourke is stealing Elizabeth Warren and Kamala 
Harris' thunder",https://www.registercitizen.com/technology/businessinsider/article/CNN-poll-shows-Beto-O-Rourke-is-stealing-13467642.php,The Register Citizen,1 day ago,Kamala Harris,9,2018-12-15 18:00:00
"CNN poll shows Beto O'Rourke is stealing Elizabeth Warren and Kamala 
Harris' thunder",https://www.registercitizen.com/technology/businessinsider/article/CNN-poll-shows-Beto-O-Rourke-is-stealing-13467642.php,The Register Citizen,1 day ago,Kamala Harris,8,2018-12-16 00:00:00
"Kamala Harris’ DOJ received misconduct claim involving aide months before 
she left: report",https://www.foxnews.com/politics/kamala-harris-california-doj-was-notified-of-her-aides-alleged-harassment-three-months-before-leaving-office,Fox News,18 hours ago,Kamala Harris,1,2018-12-16 00:00:00
"Sen. Kamala Harris Faces Questions Over Former Aide Accused of Sexual 
Harassment",https://sanfrancisco.cbslocal.com/2018/12/14/kamala-harris-questions-former-aide/,CBS San Francisco,1 day ago,Kamala Harris,4,2018-12-16 00:00:00
"CNN poll shows Beto O'Rourke is stealing Elizabeth Warren and Kamala 
Harris' thunder",https://www.businessinsider.com/beto-orourke-polls-ahead-of-elizabeth-warren-kamala-harris-in-cnn-poll-2018-12,Business Insider,1 day ago,Kamala Harris,7,2018-12-16 00:00:00
"Report: Democratic Sen. Kamala Harris knew about harassment allegations 
against her top aide",https://www.theblaze.com/news/report-claims-democratic-sen-kamala-harris-knew-about-harassment-allegations-against-her-top-aide,TheBlaze,7 hours ago,Kamala Harris,3,2018-12-16 00:00:00
"Harassment Claim Arrived at California DOJ Months Before Sen. Kamala Harris 
Left",https://www.rollcall.com/news/politics/harassment-claim-arrived-california-doj-months-sen-kamala-harris-left,Roll Call,1 day ago,Kamala Harris,2,2018-12-16 00:00:00
"Misconduct Claim Against Kamala Harris Aide Brought to Office’s Attention 
Months Before She Left for Washington",https://freebeacon.com/politics/misconduct-claim-against-kamala-harris-aide-brought-to-offices-attention-months-before-she-left-for-washington/,Washington Free Beacon,1 day ago,Kamala Harris,6,2018-12-16 00:00:00
"McCaskill 'not sure' Sanders, Harris, Warren can win Missouri in 2020 | 
TheHill",https://thehill.com/homenews/senate/421209-mccaskill-not-sure-sanders-harris-warren-can-win-missouri-in-2020,The Hill,2 days ago,Kamala Harris,10,2018-12-16 00:00:00
"Katie Porter Flipped a Red District, Thanks in Part to Her Mentors Kamala 
Harris and Elizabeth Warren",https://www.elle.com/culture/career-politics/a25558414/katie-porter-california-congress-interview/,Elle,1 day ago,Kamala Harris,9,2018-12-16 00:00:00
"Notice of harassment claim against Kamala Harris’ confidante arrived months 
before she left office",https://hotair.com/archives/2018/12/14/kamala-harriss-office-notified-harassment-lawsuit-months-left-office/,HotAir,1 day ago,Kamala Harris,5,2018-12-16 00:00:00
"Harassment Claim Arrived at California DOJ Months Before Sen. Kamala Harris 
Left",https://www.rollcall.com/news/politics/harassment-claim-arrived-california-doj-months-sen-kamala-harris-left,Roll Call,1 day ago,Kamala Harris,2,2018-12-16 06:00:00
"CNN poll shows Beto O'Rourke is stealing Elizabeth Warren and Kamala 
Harris' thunder",https://www.businessinsider.com/beto-orourke-polls-ahead-of-elizabeth-warren-kamala-harris-in-cnn-poll-2018-12,Business Insider,1 day ago,Kamala Harris,6,2018-12-16 06:00:00
"McCaskill 'not sure' Sanders, Harris, Warren can win Missouri in 2020 | 
TheHill",https://thehill.com/homenews/senate/421209-mccaskill-not-sure-sanders-harris-warren-can-win-missouri-in-2020,The Hill,2 days ago,Kamala Harris,10,2018-12-16 06:00:00
