,crn,course,enrollment,meeting,days,dept
0,13587,AFR 105 - 01,24,12:45 PM - 3:25 PM,T,AFR
1,15568,AFR 201 - 01,8,6:30 PM - 9:10 PM,M,AFR
2,15753,AFR 215 - 01,16,9:55 AM - 11:10 AM,MR,AFR
3,15071-15207,AFR 242 - 01,30,9:55 AM - 11:10 AM,TF,AFR
4,15570-15571,AFR 264 - 01,19,9:55 AM - 11:10 AM,TF,AFR
5,15827-15828,AFR 295 - 01,28,2:20 PM - 3:35 PM,MR,AFR
6,15075,AFR 341 - 01,15,12:45 PM - 3:25 PM,F,AFR
7,10596,AMST 101 - 01,21,9:55 AM - 11:10 AM,MR,AMST
8,15572-15573,AMST 117 - 01,49,8:30 AM - 9:45 AM,MR,AMST
9,14208,AMST 151 - 01,23,2:20 PM - 3:35 PM,MR,AMST
10,15076,AMST 152 - 01,26,11:20 AM - 12:35 PM,MR,AMST
11,15077,AMST 161 - 01,10,12:45 PM - 2:00 PM,TF,AMST
12,14740-14741,AMST 225 - 01,24,2:10 PM - 3:25 PM,TF,AMST
13,15574-15575,AMST 228 - 01,21,9:55 AM - 11:10 AM,TF,AMST
14,15576-15577,AMST 246 - 01,21,11:20 AM - 12:35 PM,MR,AMST
15,15009-15010,AMST 258 - 01,11,12:45 PM - 2:00 PM,TF,AMST
16,15760,AMST 264 - 01,20,9:55 AM - 12:35 PM,T,AMST
17,15578-15579,AMST 274 - 01,26,12:45 PM - 3:25 PM,T,AMST
18,14461,AMST 355 - 01,14,1:30 PM - 4:10 PM,W,AMST
19,14448,ANTH 101 - 01,36,11:20 AM - 12:35 PM,MR,ANTH
20,14465-15112,ANTH 103 - 01,27,9:55 AM - 11:10 AM,TF,ANTH
21,15580,ANTH 217 - 01,8,6:30 PM - 9:10 PM,W,ANTH
22,15581-15582,ANTH 232 - 01,16,6:30 PM - 9:10 PM,R,ANTH
23,15839,ANTH 237 - 01,7,11:20 AM - 12:35 PM,TF,ANTH
24,15292,ANTH 246 - 01,6,2:10 PM - 3:25 PM,TF,ANTH
