Rank,Name,Pct.,Rank,Num.,Pct.
1,Smith,0.83%,0,"+66,771",+2.8%
2,Johnson,0.66%,0,"+75,652",+4.1%
3,Williams,0.55%,0,"+91,210",+5.9%
4,Brown,0.49%,0,"+56,881",+4.1%
5,Jones,0.48%,0,"+62,715",+4.6%
6,Garcia,0.40%,+2,"+307,831",+35.9%
7,Miller,0.39%,-1,"+33,634",+3.0%
8,Davis,0.38%,-1,"+44,022",+4.1%
9,Rodriguez,0.37%,0,"+290,684",+36.1%
10,Martinez,0.36%,+1,"+285,087",+36.8%
11,Hernandez,0.35%,+4,"+336,909",+47.7%
12,Lopez,0.30%,+9,"+252,987",+40.7%
13,Gonzalez,0.29%,+10,"+243,307",+40.7%
14,Wilson,0.27%,-4,"+18,831",+2.4%
15,Anderson,0.27%,-3,"+22,010",+2.9%
16,Thomas,0.26%,-2,"+45,446",+6.4%
17,Taylor,0.26%,-4,"+30,839",+4.3%
18,Moore,0.25%,-2,"+25,703",+3.7%
19,Jackson,0.24%,-1,"+41,974",+6.3%
20,Martin,0.24%,-3,"+29,914",+4.4%
21,Lee,0.24%,+1,"+87,163",+14.4%
22,Perez,0.23%,+7,"+193,124",+39.5%
23,Thompson,0.23%,-4,"+20,276",+3.1%
24,White,0.22%,-4,"+20,976",+3.3%
25,Harris,0.21%,-1,"+30,710",+5.2%
26,Sanchez,0.21%,+7,"+171,510",+38.9%
27,Clark,0.19%,-2,"+14,310",+2.6%
28,Ramirez,0.19%,+14,"+168,436",+43.3%
29,Lewis,0.18%,-3,"+21,851",+4.3%
30,Robinson,0.18%,-3,"+26,793",+5.3%
31,Walker,0.18%,-3,"+21,822",+4.4%
32,Young,0.16%,-1,"+18,499",+4.0%
33,Allen,0.16%,-1,"+19,239",+4.2%
34,King,0.16%,+1,"+26,436",+6.0%
35,Wright,0.16%,-1,"+18,613",+4.2%
36,Scott,0.15%,0,"+19,439",+4.6%
37,Torres,0.15%,+13,"+112,644",+34.6%
38,Nguyen,0.15%,+19,"+127,520",+41.1%
39,Hill,0.15%,+2,"+23,057",+5.6%
40,Flores,0.15%,+15,"+121,354",+38.8%
41,Green,0.15%,-4,"+16,705",+4.0%
42,Adams,0.15%,-3,"+14,779",+3.6%
43,Nelson,0.14%,-3,"+12,722",+3.1%
44,Baker,0.14%,-6,"+6,235",+1.5%
45,Hall,0.14%,-15,"-66,492",-14.00%
46,Rivera,0.13%,+13,"+91,651",+30.6%
47,Campbell,0.13%,-4,"+14,204",+3.8%
48,Mitchell,0.13%,-4,"+17,053",+4.6%
49,Carter,0.13%,-3,"+14,418",+4.0%
50,Roberts,0.13%,-5,"+10,559",+2.9%
51,Gomez,0.12%,+17,"+102,065",+38.7%
52,Phillips,0.12%,-5,"+8,954",+2.5%
53,Evans,0.12%,-5,"+13,356",+3.9%
54,Turner,0.12%,-5,"+12,964",+3.9%
55,Diaz,0.12%,+18,"+95,864",+38.1%
56,Parker,0.11%,-5,"+11,975",+3.7%
57,Cruz,0.11%,+25,"+103,136",+44.6%
