Day,Date,TotalTopics,TotalEmailInteractions,DigestEmailInteractions,0-3,3-6,6-9,9-12,12-15,15-18,18-21,21-24
1,9/13,50,11,1,1,0,1,10,15,6,7,4
2,9/14,35,4,1,0,0,2,7,5,9,4,2
3,9/15,37,8,0,1,0,0,12,4,11,5,2
4,9/16,50,13,0,3,0,0,10,10,10,5,9
5,9/17,47,17,1,1,0,6,8,11,7,7,2
6,9/18,35,18,0,1,0,3,5,9,8,4,4
7,9/19,31,22,2,0,0,2,4,6,10,3,3
8,9/20,36,17,0,2,0,4,6,9,5,7,1
9,9/21,28,9,0,0,0,1,5,6,11,3,0
10,9/22,16,6,1,0,0,1,5,5,3,1,0
11,9/23,29,14,1,3,0,2,6,3,8,3,3
12,9/24,34,15,0,1,0,2,5,6,8,5,5
13,9/25,31,19,0,0,0,4,5,8,6,2,6
14,9/26,37,18,2,2,0,1,5,8,9,6,3
15,9/27,32,20,0,0,0,4,4,13,7,1,3
